"abbreviated_form","long_form"
"bv","boulevard"
"Ctr","Centre"
"Str","Banana"
"Str","Street"
"9","nine"
"Bureau","Suite"
"Thick","Thicket"
"Lmts","Limits"
"15","fifteen"
"10","ten"
"Nrs","Narrows"
"Mt","Mount"
"Prom","Promenade"
"Al","Alley"
"Crk","Creek"
"Sqre","Square"
"Frtg","Frontage"
"4","four"
"Cir","Circle"
"Ht","Height"
"Rg","Range"
"dri","drive"
"Trl","Trail"
"Overps","Overpass"
"Tsse","Terasse"
"3","three"
"Etage","Floor"
"Grnds","Grounds"
"Riv","River"
"Wy","Way"
"Pk","Park"
"Pla","Place"
"Dist","District"
"Fks","Forks"
"Exten","Extension"
"Landng","Landing"
"Aly","Alley"
"Upr","Upper"
"30","thirty"
"Pkw","Parkway"
"Vdct","Viaduct"
"Hw","Highway"
"Blv","Boulevard"
"Cinquieme","5"
"Bd","Boulevard"
"5","five"
"Sl","Slough"
"100","hundred"
"Acc","Access"
"Frntg","Frontage"
"Extn","Extension"
"Vingtieme","20"
"Cr","Crescent"
"Parc","Park"
"Bl","Boulevard"
"Byp","Bypass"
"Cds","Cul-de-sac"
"SE","Southeast"
"Car","Carre"
"Pky","Parkway"
"Uppr","Upper"
"Ave","Avenue"
"Squ","Square"
"Via","Viaduct"
"Terr","Terrace"
"cre","crescent"
"Bkwr","Breakwater"
"Hbr","Harbour"
"Front","Frontage"
"Pnt","Point"
"50","fifty"
"Trentieme","30"
"Sqr","Square"
"ro","road"
"Plat","Plateau"
"Rd","Road"
"18","eighteen"
"Est","East"
"Cls","Close"
"Wk","Walk"
"Premier","1"
"0","zero"
"Expy","Expressway"
"Ile","Island"
"Fwy","Freeway"
"Twnh","Townhouse"
"14","fourteen"
"Sixth","6"
"Blvd","Boulevard"
"Causeway","Cswy"
"8","eight"
"SW","Southwest"
"Pointe","Point"
"Lwr","Lower"
"CB","BC"
"Ft","Fort"
"NW","Northwest"
"Cour","Court"
"BC","British Columbia"
"Seventeenth","17"
"Hghwy","Highway"
"N","North"
"70","seventy"
"Cv","Cove"
"Ter","Terrace"
"Boul","Boulevard"
"Te","Terrace"
"Fls","Falls"
"Second","2"
"Bch","Beach"
"Fl","Floor"
"Carref","Carrefour"
"Rf","Reef"
"Espl","Esplanade"
"Bur","Bureau"
"Hiway","Highway"
"Lkout","Lookout"
"Plz","Plaza"
"20","twenty"
"Cres","Crescent"
"basem","Basement"
"S","South"
"Eighteenth","18"
"Frw","Freeway"
"Onzieme","11"
"Frwy","Freeway"
"roa","road"
"bu","boulevard"
"Ninth","9"
"Croissant","Crescent"
"Huitieme","8"
"2","two"
"La","Lane"
"12","twelve"
"Isld","Island"
"Ci","Circle"
"Pt","Point"
"Dvrs","Diversion"
"Ovrps","Overpass"
"Sixteenth","16"
"Seventh","7"
"Crcl","Circle"
"Bsmt","Basement"
"Campgrnd","Campground"
"Vly","Valley"
"Ests","Estates"
"Tce","Terrace"
"Esp","Esplanade"
"Estate","Estates"
"Wht","White"
"Ct","Court"
"Crnrs","Corners"
"TH","Townhouse"
"Lne","Lane"
"Py","Parkway"
"Quinzieme","15"
"Rks","Rocks"
"NO","Northwest"
"Troisieme","3"
"Frt","Frontage"
"E","East"
"Flr","Floor"
"Ln","Lane"
"Ouest","West"
"Deuxieme","2"
"Montee","Rise"
"Sud","South"
"Voie","Path"
"Lk","Lake"
"Fourteenth","14"
"Gdns","Gardens"
"Stn","Station"
"Mtns","Mountains"
"Nord","North"
"80","eighty"
"First","1"
"Crossing","Xing"
"clo","close"
"Hghts","Heights"
"Lbby","Lobby"
"11","eleven"
"Sprgs","Springs"
"Rt","Route"
"Ldg","Landing"
"Jct","Junction"
"Mtn","Mountain"
"1","one"
"Rk","Rock"
"Chemin","Road"
"Bldg","Building"
"Orch","Orchard"
"Sub","Subdivision"
"Glcr","Glacier"
"Ruelle","Alley"
"Ch","Chemin"
"Pl","Place"
